date,open,high,low,close,volume
201810010905,27148,27229,27148,27202,259685
201810010910,27202,27202,27171,27175,79532
201810010915,27180,27180,27144,27157,109853
201810010920,27153,27166,27144,27148,44790
201810010925,27148,27153,27130,27135,16222
201810010930,27135,27135,27036,27036,54490
201810010935,27036,27067,27031,27036,104522
201810010940,27040,27040,27004,27027,118599
201810010945,27027,27036,27013,27022,42720
201810010950,27018,27031,27000,27022,86342
201810010955,27022,27022,27004,27004,14771
201810011000,27004,27022,27004,27013,31779
201810011005,27013,27031,27013,27027,42834
201810011010,27031,27049,27027,27045,31878
201810011015,27045,27054,27031,27040,43459
201810011020,27040,27049,27027,27036,50230
201810011025,27036,27072,27036,27063,33842
201810011030,27063,27094,27054,27094,81715
201810011035,27094,27103,27076,27085,29210
201810011040,27081,27085,27063,27067,23519
201810011045,27063,27072,27049,27058,35038
201810011050,27058,27072,27058,27058,3316
201810011055,27058,27076,27054,27067,16173
201810011100,27067,27072,27036,27040,65578
201810011105,27045,27049,27031,27049,33173
201810011110,27049,27063,27045,27063,6608
201810011115,27067,27099,27067,27094,17330
201810011120,27094,27148,27090,27135,26908
201810011125,27144,27157,27130,27148,18664
201810011130,27153,27153,27139,27144,21710
201810011135,27144,27144,27130,27130,14207
201810011140,27130,27144,27121,27121,11271
201810011145,27130,27130,27117,27121,1910
201810011150,27126,27126,27117,27117,4476
201810011155,27117,27135,27117,27135,4761
201810011200,27135,27139,27117,27121,5945
201810011205,27126,27130,27108,27108,9634
201810011210,27108,27121,27103,27117,41787
201810011215,27117,27139,27117,27135,12607
201810011220,27135,27135,27126,27126,4636
201810011225,27126,27126,27103,27117,2479
201810011230,27117,27126,27117,27126,7756
201810011235,27126,27130,27117,27117,4667
201810011240,27112,27117,27112,27117,1822
201810011245,27117,27121,27108,27117,1522
201810011250,27121,27121,27108,27108,13357
201810011255,27108,27112,27099,27103,15370
201810011300,27103,27103,27072,27072,14618
201810011305,27072,27081,27067,27076,17123
201810011310,27081,27081,27058,27072,8035
201810011315,27072,27081,27067,27067,12421
201810011320,27072,27081,27063,27067,16779
201810011325,27072,27081,27067,27076,5018
201810011330,27081,27085,27072,27076,13195
201810011335,27076,27076,27040,27058,6607
201810011340,27058,27058,27045,27049,40385
201810011345,27054,27076,27049,27067,2888
201810011350,27067,27076,27063,27072,2406
201810011355,27072,27085,27072,27081,12075
201810011400,27081,27090,27081,27085,14904
201810011405,27090,27090,27067,27072,14763
201810011410,27067,27090,27063,27081,137461
201810011415,27081,27099,27081,27099,45662
201810011420,27094,27117,27090,27117,121123
201810011425,27112,27112,27099,27103,21125
201810011430,27099,27112,27090,27108,33074
201810011435,27108,27121,27103,27103,20215
201810011440,27103,27108,27099,27108,48606
201810011445,27108,27112,27103,27108,44313
201810011450,27108,27121,27108,27112,17916
201810011455,27112,27121,27112,27117,14595
201810011500,27121,27121,27103,27121,29995
201810011505,27117,27121,27099,27103,118204
201810011510,27103,27108,27072,27081,81567
201810011515,27081,27094,27072,27081,335967
201810011520,27081,27099,27076,27085,89973
201810011530,27099,27099,27099,27099,102997
201810020905,27076,27117,27063,27099,162628
201810020910,27099,27108,27072,27072,85831
201810020915,27072,27108,27067,27108,74217
201810020920,27108,27126,27099,27112,32128
201810020925,27103,27121,27099,27121,7971
201810020930,27112,27130,27108,27112,41543
201810020935,27112,27126,27108,27126,79976
201810020940,27130,27139,27126,27135,2459
201810020945,27135,27148,27126,27148,90431
201810020950,27144,27148,27126,27148,32451
201810020955,27148,27153,27130,27135,22026
201810021000,27135,27139,27117,27121,11936
201810021005,27117,27121,27103,27108,31638
201810021010,27103,27108,27054,27054,69484
201810021015,27054,27058,27022,27022,28551
201810021020,27022,27040,27004,27018,30638
201810021025,27018,27031,27018,27027,41371
201810021030,27022,27027,27013,27018,24862
201810021035,27009,27013,26959,26973,42137
201810021040,26968,26995,26964,26995,35579
201810021045,26991,26991,26977,26977,5822
201810021050,26977,26977,26950,26955,43592
201810021055,26959,26977,26959,26977,5971
201810021100,26973,26977,26964,26964,21365
201810021105,26959,26968,26955,26959,12304
201810021110,26964,26986,26955,26977,8034
201810021115,26977,26991,26977,26977,22787
201810021120,26977,26982,26946,26946,96982
201810021125,26941,26946,26928,26946,126580
201810021130,26946,26950,26932,26941,109281
201810021135,26946,26946,26923,26941,29221
201810021140,26941,26955,26937,26955,41937
201810021145,26959,26959,26932,26950,36168
201810021150,26950,26950,26928,26937,14827
201810021155,26932,26959,26932,26959,12296
201810021200,26959,26964,26950,26955,36868
201810021205,26950,26955,26946,26946,18371
201810021210,26946,26955,26941,26941,44399
201810021215,26941,26955,26937,26955,2219
201810021220,26950,26959,26946,26959,3812
